osmid,x,y
69349951,-84.3935166,33.7579125
69349971,-84.392028,33.76228
69350480,-84.4961802,33.7899164
69356492,-84.390213,33.74782
69363538,-84.4084202,33.744318
69372780,-84.3874435,33.7697793
69372785,-84.3873528,33.7723184
69372813,-84.387802,33.781503
69372826,-84.387808,33.786702
69372832,-84.3877754,33.7918646
69373146,-84.391278,33.753164
69381912,-84.3864419,33.7544996
69391596,-84.3548292,33.8249731
69391614,-84.3524139,33.8256498
69394418,-84.457239,33.706518
69407191,-84.3717671,33.6592425
69407564,-84.397261,33.7642653
69419502,-84.3489931,33.8474092
69419513,-84.3496836,33.8480243
69421271,-84.384328,33.786655
69421277,-84.3831523,33.7865802
69421284,-84.3781405,33.7865089
69424999,-84.3892416,33.7867054
69425053,-84.4075195,33.7862359
69427906,-84.38063,33.7174834
69436045,-84.384913,33.772239
69436063,-84.383306,33.772424
69436193,-84.352509,33.773833
69440383,-84.3888413,33.772433
69444274,-84.4160178,33.8402168
69446601,-84.490588,33.692582
69465389,-84.385753,33.764545
69476273,-84.3892431,33.7469208
69476284,-84.391534,33.748546
69476287,-84.393893,33.749846
69487715,-84.4764549,33.8108764
69499723,-84.365836,33.809362
69500711,-84.4080077,33.7913291
69501986,-84.354115,33.757447
69506018,-84.4009093,33.7538864
69506154,-84.366097,33.807566
69506348,-84.38621,33.746924
69515842,-84.3840077,33.7817161
69515873,-84.3837367,33.7881205
69515896,-84.3863766,33.7925132
69515924,-84.3897941,33.7543203
69516416,-84.4277851,33.8461273
69536758,-84.3891298,33.7972663
69536785,-84.3922825,33.7997135
69536974,-84.3875026,33.822865
69537103,-84.3713497,33.8436464
69540572,-84.4441564,33.7497857
69545590,-84.385383,33.751469
69546346,-84.3654607,33.852574
69552957,-84.4300602,33.8490781
69556258,-84.351225,33.823087
69562456,-84.393381,33.742591
69573255,-84.4176277,33.7406673
69573269,-84.417725,33.737991
69573600,-84.387708,33.7469
69573611,-84.3877898,33.7418889
69576791,-84.3926744,33.7569874
69576795,-84.394188,33.758704
69587332,-84.416193,33.8185467
69588600,-84.382499,33.781748
