u,v,length
68196627,68196633,128.643
68196627,68178034,116.864
68196633,8197464053,103.966
68196633,68196643,169.58899999999997
68196633,68196627,128.643
68196643,68236827,178.56199999999998
68196643,68196633,169.589
68196643,68196645,121.01400000000001
68196645,68236827,266.582
68196645,68196647,192.58300000000003
68196645,68196643,121.01400000000001
68196647,68296086,54.683
68196647,68257027,109.384
68196647,68196649,201.006
68196647,68196645,192.583
68196649,68257037,107.462
68196649,68196653,116.68299999999999
68196649,68196647,201.006
68196653,384327636,117.234
68196653,68367940,420.859
68196653,68196649,116.68299999999999
68198187,68198195,128.32
68198187,69225697,172.761
68198187,68265032,106.057
68198195,68212384,30.738
68198195,68198187,128.32
68198195,68212379,124.394
68199219,68199224,102.551
68199219,68199230,62.236
68199224,68224300,38.978
68199224,68199219,102.551
68199224,68199230,89.698
68199230,68199219,62.236
68199230,68299171,106.783
68199230,68199224,89.698
68199405,68199408,147.536
68199405,6191574890,384.80899999999997
68199405,68275263,140.182
68199405,68294143,140.783
68199408,68199405,147.536
68199408,68199856,143.11700000000002
68199494,68203753,36.299
68199494,68412643,140.402
68199494,68449640,468.917
68199562,68199586,116.388
68199562,68313596,48.308
68199564,68199562,76.47900000000001
68199574,68199564,50.43
68199574,7850071556,57.504999999999995
68199579,68199574,26.512999999999998
68199582,68199579,8.638
68199582,8481826308,13.029
68199586,68199562,116.388
68199586,68199582,17.197000000000003
68199586,68199600,64.486
68199600,68199609,228.783
68199600,68313606,246.24900000000002
68199600,68199586,64.486
68199609,68199600,228.783
68199856,68199859,139.71
68199856,68199408,143.11700000000002
68199856,68275263,148.487
68199859,68199856,139.71
68199859,68207150,150.447
68199859,68191131,137.385
68199968,68194532,201.127
68199968,68194530,140.722
68199968,68211342,135.85899999999998
68200604,68248429,78.112
68200604,3602981591,118.858
68200604,68374072,21.816
68200608,68200611,169.581
68200608,3602981591,172.7
68200608,68317902,105.016
68200608,68200613,786.2819999999999
68200611,68200612,169.017
68200611,68200608,169.581
68200611,68332314,105.505
68200612,68200613,126.095
68200612,68200611,169.017
68200612,68332317,104.37
68200613,68200612,126.095
68200613,68221067,104.747
68200613,68200608,786.282
68203753,68203756,127.46
68203753,68203803,31.2
68203753,68199494,36.299
68203756,68203757,127.787
68203756,68203753,127.46
68203756,68207715,184.917
68203756,68207713,275.377
68203757,68203756,127.787
68203757,68212999,275.57
68203757,68213001,183.367
68203763,68203777,94.101
68203763,5430683899,175.35899999999998
68203763,5424221339,76.885
68203777,68203763,94.101
68203803,68203753,31.2
68203803,68361603,153.759
68203803,5925771078,39.357
68203815,68224769,37.925
68203815,5745898518,74.791
68203815,384327224,189.69
68203920,68238650,36.266
68203920,8408792060,217.809
68203920,69656282,96.431
68203937,68169625,57.455
68204046,68219059,119.09
68204046,68204048,104.11099999999999
68204048,68204058,216.4
68204048,68204046,104.11099999999999
68204058,68358081,155.756
68204058,68204066,190.357
68204058,68204048,216.4
68204066,68204058,190.35699999999997
68204066,68446935,187.37800000000001
68204066,68204071,135.738
68204071,1140293211,126.678
68204071,1280114455,135.04
68204071,68204066,135.738
68204752,68294136,113.622
68204752,6958018021,28.23
68204752,68204754,112.599
68204752,6958018023,28.444
68204752,68215876,197.296
68204754,68204759,90.28
68204754,68204752,112.599
68204754,68334951,279.182
68204759,68204754,90.28
68204759,68258246,268.403
68204759,68204761,104.994
68204761,68248718,34.769
68204761,68204759,104.994
68204761,68337609,268.543
68205591,68219859,36.359
68205591,68205616,267.091
68205591,68190690,57.861000000000004
68205616,68205591,267.09100000000007
68206041,68206043,232.012
68206041,68215875,118.54
68206041,68294132,16.689
68206043,68206045,226.128
68206043,68206041,232.012
68206043,68270281,118.926
68206043,68270278,116.325
68206045,68206043,226.128
68206045,68269288,70.264
68206045,68269284,123.62
68207150,68199859,150.447
68207150,68191127,138.915
68207150,68275263,138.0
68207150,68158524,407.353
68207711,68207713,201.57
68207711,68185289,353.545
68207711,68212995,131.071
68207711,68185285,126.15200000000002
68207713,68203756,275.377
68207713,68244563,131.247
68207713,68207711,201.57
68207713,68212999,126.116
68207715,68203756,184.917
68207715,68213001,129.349
68207715,68196103,833.4449999999999
68207715,5430683900,107.204
68207743,68277961,269.07
68207743,68207747,106.433
68207743,68196103,117.684
68207747,68361654,271.924
68207747,68169769,77.727
68207747,68207743,106.433
68208682,68194525,341.29
68208682,68211342,98.30799999999999
68208682,5941246177,75.621
68208825,8316420994,59.45
68208825,6191573280,81.98599999999999
68208825,6958018021,278.539
68208825,68294143,249.748
68208843,68275254,85.801
68208843,68158524,178.75500000000002
68208843,6191573280,194.213
68210498,68180804,90.783
68210498,68254232,142.83
68210498,68167543,94.977
68210498,68180790,58.382999999999996
68210513,68167543,218.96400000000003
68210513,68180812,127.58399999999999
68210706,68238358,125.764
68210706,68210723,296.35100000000006
68210706,68238344,130.663
68210723,68211356,105.224
68210723,68210706,296.351
68210723,68305065,168.339
68210723,68211372,277.69100000000003
68210929,68334048,142.753
68210929,68294161,204.016
68210929,68271800,223.263
68210929,68210934,238.752
68210934,68210929,238.752
68210934,68216759,149.27399999999997
68210934,384328007,168.608
68211318,68211331,66.37
68211318,68280263,198.854
68211318,68211320,66.25299999999999
68211320,68211322,101.588
68211320,68430082,201.137
68211320,68211318,66.253
68211322,68211320,101.588
68211322,68365997,199.487
68211322,1280114320,106.12899999999999
68211322,68280265,160.00400000000002
68211329,68211331,66.971
68211331,68211329,66.971
68211331,68211318,66.37
68211331,68361975,131.411
68211342,68199968,135.859
68211342,69499932,197.483
68211342,5430678783,224.894
68211342,68208682,98.30799999999999
68211351,68238333,64.827
68211351,68211352,92.72
