u,v,length
69340013,3661064311,38.230999999999995
69340013,3107884163,1203.1749999999997
69340214,69407564,2424.4429999999993
69340214,69616397,2031.812
69340214,69339775,481.505
69342303,463545360,55.694
69342303,463545396,50.943
69342303,69172091,192.06900000000002
69342310,69245196,311.15299999999996
69342310,5430716747,825.579
69348285,2611736897,278.787
69348285,69124438,142.829
69348334,69348370,1316.5429999999997
69348334,588870569,1653.5010000000002
69348334,2611736897,55.866
69348334,2611736892,41.638
69348370,69348334,1316.5430000000001
69349366,69208060,441.834
69349366,69195707,1171.9429999999998
69349366,69349378,308.25
69349366,69363538,241.504
69349378,69349366,308.25
69349951,69576795,108.68799999999999
69349951,69576791,129.01
69349971,69304657,409.31300000000005
69350480,69487715,3046.397
69350480,6978295808,675.2400000000002
69356492,69476284,146.403
69356492,69476273,147.414
69356492,1861951606,118.006
69363538,69171444,1218.1329999999998
69363538,69239416,258.087
69363538,69349366,241.618
69372780,69616381,134.591
69372780,69372785,282.55100000000004
69372785,69440383,138.17199999999997
69372785,69372813,1028.94
69372785,69436045,225.77999999999997
69372813,69614527,174.20499999999998
69372813,69616397,126.25
69372813,2911510961,564.789
69372826,69424999,132.487
69372826,69372832,574.0690000000001
69372832,69515896,148.021
69372832,69616413,136.81900000000002
69372832,69150809,300.153
69373146,681262448,308.028
69373146,69515924,192.85300000000004
69373146,69167140,145.774
69381912,69157530,297.329
69381912,7502147715,32.076
69391596,69258160,221.321
69394418,6091664246,2991.438
69394418,661038351,3210.9490000000014
69407564,69191620,109.585
69407564,926858112,130.323
69407564,69340214,2424.4430000000007
69407564,69304657,350.238
69419502,69419513,94.47899999999998
69419502,7138737895,71.231
69419513,69101504,904.3679999999997
69421271,69421277,110.43
69421271,2911510963,244.17999999999998
69421277,69421271,110.28500000000001
69421277,5198748651,92.451
69421277,69515842,563.0690000000001
69421277,2390850312,120.49799999999999
69421284,5674178518,9.722000000000001
69424999,2911510962,13.345
69424999,69189264,374.695
69425053,69189264,1319.0430000000003
69427906,69193472,471.46900000000005
69436045,69372785,225.78
69436045,9561221568,101.36000000000001
69436045,69262915,539.971
69436045,69515842,1057.1499999999999
69436063,9561221568,52.724000000000004
69436193,69256333,306.747
69440383,69372785,138.172
69440383,69616381,312.06699999999995
69446601,5947379199,24.808
69446601,5947379195,25.184
69446601,5947379191,27.988999999999997
69465389,69191561,579.7399999999999
69465389,69262915,321.34799999999996
69465389,69245196,303.557
69465389,463545360,95.69900000000001
69476273,69356492,147.414
69476273,1861951606,154.588
69476273,5415829180,76.81899999999999
69476284,69326288,135.51500000000001
69476284,69356492,146.403
69476284,69171476,146.537
69476287,2430587514,281.6330000000001
69476287,69326288,126.154
69476287,5430680549,385.791
69476287,69171482,145.37800000000001
69487715,69350480,3046.3969999999995
69487715,69306883,5507.800999999998
69487715,69677861,127.01
69499723,7062844579,1282.264
69499723,5442365913,109.305
69501986,69589374,577.718
69506018,3633073271,62.44299999999999
69506018,69171544,126.14399999999999
69506018,69171444,176.40800000000002
69506154,5424022137,51.589
69506154,69589641,1222.8859999999997
69506154,69589734,35.016999999999996
69506348,69573600,138.528
69506348,7556153591,385.06899999999996
