osmid,y,x
68178915,33.750037,-84.30821
68179220,33.761197,-84.313537
68179222,33.7639217,-84.3134502
68180209,33.7511319,-84.3194963
68180211,33.749713,-84.319533
68180213,33.7494091,-84.3195557
68180215,33.747328,-84.319589
68180752,33.7307526,-84.3365244
68180754,33.73071,-84.335639
68180759,33.7307547,-84.333859
68180776,33.731007,-84.331805
68180784,33.730921,-84.330984
68180790,33.730776,-84.330545
68180804,33.72992,-84.32995
68180808,33.729361,-84.328738
68180812,33.728728,-84.327174
68180823,33.725951,-84.322582
68182175,33.762557,-84.316462
68184832,33.767283,-84.342619
68184835,33.7672444,-84.3417028
68185285,33.753388,-84.3331411
68185289,33.7554095,-84.3331081
68186082,33.7357919,-84.3480704
68186087,33.735785,-84.3475162
68186091,33.735774,-84.345846
68188826,33.749376,-84.321863
68188828,33.748657,-84.321835
68188849,33.7578095,-84.3400986
68188854,33.7605883,-84.3400834
68188910,33.7483693,-84.3481657
68188915,33.7486854,-84.3464563
68188918,33.7487943,-84.3454261
68188920,33.748931,-84.3445893
68188924,33.7493201,-84.3422356
68188933,33.748504,-84.3481544
68188935,33.7486826,-84.3474929
68188937,33.748815,-84.3464581
68188946,33.761105,-84.312422
68190251,33.756407,-84.324751
68190255,33.7597782,-84.3247304
68190686,33.751015,-84.346424
68190687,33.749588,-84.3464644
68190690,33.747573,-84.346464
68191127,33.7510417,-84.3052
68191129,33.7515509,-84.3052149
68191131,33.752388,-84.305215
68191152,33.7533937,-84.3346365
68191975,33.774449,-84.348957
68191991,33.776301,-84.347981
68191993,33.7770657,-84.3473631
68192000,33.7787536,-84.3456065
68193148,33.739967,-84.306593
68194501,33.747559,-84.344349
68194513,33.745937,-84.3443625
68194521,33.7451442,-84.3443372
68194522,33.744453,-84.344343
68194525,33.743608,-84.344365
68194530,33.742674,-84.3443512
68194532,33.7409257,-84.3443651
68194535,33.7401376,-84.3443615
68196078,33.7401609,-84.3480214
68196080,33.740154,-84.3468866
68196082,33.740149,-84.3458041
68196085,33.7401395,-84.345374
68196087,33.7401305,-84.3428856
68196090,33.7400985,-84.3413455
68196092,33.7400666,-84.3399765
68196094,33.74006,-84.33937
68196096,33.7400625,-84.3383472
68196097,33.7400501,-84.3374837
68196099,33.7400467,-84.3371622
68196100,33.740039,-84.336082
68196101,33.739998,-84.335034
